,216,GEAR BOX,BRG-216,Kg
,217,GEAR BOX ALM DINAMO ALM,BRG-217,Kg
,218,NCB,BRG-218,Kg
,219,PINTU BESI,BRG-219,Kg
,220,PANEL,BRG-220,Kg
,221,KAP LAMPU,BRG-221,Kg
,222,ALAT TEKNIK,BRG-222,Kg
,223,INP & H-BEEM,BRG-223,Kg
,224,"HOIS 0,5 TON",BRG-224,UNIT
,225,HOIS 1 TON,BRG-225,UNIT
,226,TROSFAL,BRG-226,Kg
,227,EMBER,BRG-227,Pcs
,228,PREON,BRG-228,Kg
,229,ONERDIL,BRG-229,Kg
,230,HBEAM DAN PIPA,BRG-230,Kg
,231,UNP & BAJA RINGAN,BRG-231,Kg
,232,BESI COR,BRG-232,Kg
,233,TIHANG 8 M,BRG-233,BATANG
,234,PARALON,BRG-234,Kg
,235,WF 500,BRG-235,Kg
,236,BEARING,BRG-236,Kg
,237,BETON,BRG-237,Kg
,238,WF 200,BRG-238,Kg
,239,LADIATOR KUNINGAN,BRG-239,Kg
,240,GARDAN,BRG-240,Kg
,241,BAUD,BRG-241,Kg
,242,KARET,BRG-242,Kg
,243,KABEL,BRG-243,Kg
,244,PARALON,BRG-244,Kg
,245,PAGER,BRG-245,Kg
,246,MESIN DOMPLENG LENGKAP,BRG-246,Kg
,247,MESIN DOMPLENG  ,BRG-247,Kg
,248,TABUNG,BRG-248,Kg
,249,BAJA RINGAN,BRG-249,Kg
,250,SAKLAR,BRG-250,Kg
,251,SEPERPART SETENLIS,BRG-251,Kg
,252,WF 200,BRG-252,Kg
,253,SEPANDEX BEKAS,BRG-253,Kg
,254,CINCIN TROSFAL ,BRG-254,Kg
,255,KOMPRESOR,BRG-255,Kg
,256,SELING,BRG-256,Kg
,257,KOMPA ,BRG-257,Kg
,258,TUTUP DYNAMO,BRG-258,Kg
,259,DRUM,BRG-259,Kg
,260,BESI SIKU,BRG-260,Kg
,261,CNP 20,BRG-261,Kg
,262,KERAN,BRG-262,Kg
,263,TAKEL,BRG-263,Pcs
,264,TRAFO,BRG-264,Kg
,265,NEVEL,BRG-265,Kg
,266,BAUD,BRG-266,Kg
,267,WF,BRG-267,Kg
,268,BOX PLASTIK,BRG-268,Pcs
,269,ASH,BRG-269,Kg
,270,CNP 10,BRG-270,Kg
,271,CUBIN,BRG-271,Kg
,272,RONGSOK ROLL,BRG-272,Kg
,273,PALET,BRG-273,Kg
,274,COMPUTER,BRG-274,PCS
,275,MONITOR,BRG-275,PCS
,276,PLATE ALUMUNIUM,BRG-276,Kg
,277,MESIN ,BRG-277,Kg
,278,AC,BRG-278,Kg
,279,SPARE PART STAINLESS,BRG-279,Kg
,280,HANDKLIP,BRG-280,Pcs
,281,TROLLY,BRG-281,Pcs
,282,GEAR BOX,BRG-282,Kg
,283,MESIN GERGAJI,BRG-283,Kg
,284,WF-200,BRG-284,BTG
,285,CNP 100,BRG-285,BTG
,286,BETON 12 MM,BRG-286,BTG
,287,PAGAR BRC,BRG-287,Kg
,288,RODA,BRG-288,Kg
,289,ALAT LISTRIK,BRG-289,Kg
,290,MESIN STENLIS,BRG-290,UNIT
,291,TALANG AIR,BRG-291,Kg
,292,ANGKUR,BRG-292,PCS
,293,BAUD,BRG-293,PCS
,294,RING,BRG-294,PCS
,295,SPAN SCROEP,BRG-295,PCS
,296,TOREN KEMPU,BRG-296,PCS
,297,KAWAT DURI,BRG-297,Kg
,298,UNP  ,BRG-298,Kg
,299,TIANG 9 M,BRG-299,BTG
,300,CNP,BRG-300,Kg
,301,KONTRAKTOR,BRG-301,Kg
,302,BESI ,BRG-302,Kg
,303,LADIATOR  ,BRG-303,Kg
,304,RITASE CICALENGKA,BRG-304,TF
,305,RITASE RANCAEKEK,BRG-305,TF
,306,CNP 100,BRG-306,BTG
,307,MESIN ,BRG-307,UNIT
,308,KOMPLAYER,BRG-308,UNIT
,309,TIHANG LISTRIK 9 M,BRG-309,BTG
,310,KABIN ,BRG-310,UNIT
,311,GRAM,BRG-311,Kg
,312,TIANG PLANG,BRG-312,Pcs
,313,HIDROLIK KECIL,BRG-313,PCS
,314,PAKU BESI,BRG-314,Kg
,315,PAKU BETON,BRG-315,Kg
,316,TIHANG TLP 7 M,BRG-316,BTG
,317,PAGAR,BRG-317,RAD
,318,ARSIP,BRG-318,Kg
,319,PAKU ROOFING,BRG-319,Kg
,320,"BAJA RINGAN 0,75",BRG-320,BTG
,321,"BAJA RINGAN 0,70",BRG-321,BTG
,322,SPANDECK,BRG-322,M
,323,BESI BOLA,BRG-323,Kg
,324,KANAL C,BRG-324,Kg
,325,DINAMO STATER,BRG-325,PCS
,326,LETTER C BAJA RINGAN,BRG-326,Kg
,327,SIKAT,BRG-327,Kg
,328,DAUN PINTU BESI,BRG-328,Kg
,329,"PARALON 2""",BRG-329,BTG
,330,SELANG VVC,BRG-330,ROLL
,331,HIDROLIK,BRG-331,Kg
,332,TENGKI 16 LITER,BRG-332,UNIT
,333,KARDUS,BRG-333,Kg
,334,SOLAR,BRG-334,RAD
,335,ANGKUTAN ELOD / SLUDGE,BRG-335,RIT
,336,BUBUK BESI / SKIL,BRG-336,Kg
,337,ONGKOS KERJA,BRG-337,RAD
,338,BAJA RINGAN,BRG-338,Kg
,339,TIHANG LISTRIK 11 M,BRG-339,BTG
,340,ROLLINGDOR,BRG-340,PCS
,341,PLATE PLENES,BRG-341,Kg
,342,BETON 19 mm,BRG-342,PCS
,343,BETON 10 MM  ,BRG-343,BTG
,344,KOMPRESOR,BRG-344,Kg
,345,RONGSOK ,BRG-345,Kg
,346,KAWAT,BRG-346,Kg
,347,BAUT,BRG-347,Kg
,348,BESI BETON 10 MM FULL,BRG-348,BTG
,349,DUS,BRG-349,Kg
,350,BETON BAKAR,BRG-350,Kg
,351,LOGAM CAMPUR,BRG-351,Kg
,352,ALM ACP,BRG-352,RAD
,353,PINTU POLINGGET,BRG-353,Kg
,354,BOLA LAHER,BRG-354,Kg
,355,RENG BAJA RINGAN,BRG-355,Kg
,356,"ATAP 0,35",BRG-356,LBR
,357,ATAP PIBER,BRG-357,LBR
,358,RUFING 5 CM,BRG-358,Pcs
,359,RUFING 3 CM,BRG-359,Pcs
,360,SENG TALANG,BRG-360,M
,361,KALENG PRES,BRG-361,Kg
,362,LPG BEKAS,BRG-362,Kg
,363,KARUNG GUNNY,BRG-363,PCS
,364,BAJA RINGAN BEKAS,BRG-364,Kg
,365,KANDANG MAGOT,BRG-365,UNIT
,366,DINDING KANDANG MAGOT,BRG-366,UNIT
,367,FIBER,BRG-367,LEMBAR
